NUMBER	BINARIO
0	1101100110
1	1100110110
2	1100110011
3	1001001100
4	1001000110
5	1000100110
6	1001100100
7	1001100010
8	1000110010
9	1100100100
10	1100100010
11	1100010010
12	1011001110
13	1001101110
14	1001100111
15	1011100110
16	1001110110
17	1001110011
18	1100111001
19	1100101110
20	1100100111
21	1101110010
22	1100111010
23	1110110111
24	1110100110
25	1110010110
26	1110010011
27	1110110010
28	1110011010
29	1110011001
30	1101101100
31	1101100011
32	1100011011
33	1010001100
34	1000101100
35	1000100011
36	1011000100
37	1000110100
38	1000110001
39	1101000100
40	1100010100
41	1100010001
42	1011011100
43	1011000111
44	1000110111
45	1011101100
46	1011100011
47	1000111011
48	1110111011
49	1101000111
50	1100010111
51	1101110100
52	1101110001
53	1101110111
54	1110101100
55	1110100011
56	1110001011
57	1110110100
58	1110110001
59	1110001101
60	1110111101
61	1100100001
62	1111000101
63	1010011000
64	1010000110
65	1001011000
66	1001000011
67	1000010110
68	1000010011
69	1011001000
70	1011000010
71	1001101000
72	1001100001
73	1000011010
74	1000011001
75	1100001001
76	1100101000
77	1111011101
78	1100001010
79	1000111101
80	1010011110
81	1001011110
82	1001001111
83	1011110010
84	1001111010
85	1001111001
86	1111010010
87	1111001010
88	1111001001
89	1101101111
90	1101111011
91	1111011011
92	1010111100
93	1010001111
94	1000101111
95	1011110100
96	1011110001
97	1111010100
98	1111010001
99	1011101111
100	1011110111
101	1110101111
102	1111010111
103	1101000010
104	1101001000
105	1101001110
106	1100011101011
